COXORB Performance Data   22:44  12/03/2026 

Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,000.0,099,99:59,00.00,00.00
00025,0:00:07.1,00002,023.9,039,02:53,02.89,07.88
00050,0:00:12.7,00005,023.0,029,01:55,04.33,10.14
00075,0:00:18.1,00007,024.0,015,01:49,04.57,10.85
00100,0:00:23.1,00009,024.8,018,01:44,04.80,11.33
00125,0:00:28.3,00012,029.2,016,01:42,04.90,09.98
00150,0:00:32.9,00014,030.8,021,01:38,05.12,09.82
00175,0:00:37.7,00017,033.5,022,01:35,05.27,09.45
00200,0:00:42.3,00019,034.0,018,01:33,05.36,09.39
00225,0:00:46.9,00022,034.2,018,01:30,05.53,09.61
00250,0:00:52.5,00025,034.2,018,01:43,04.84,09.07
00275,0:00:57.9,00028,034.1,022,01:58,04.23,07.34
00300,0:01:02.3,00031,033.4,021,01:31,05.48,09.44
00325,0:01:07.1,00033,033.2,013,01:33,05.37,09.59
00350,0:01:11.5,00036,032.6,014,01:31,05.49,10.06
00375,0:01:16.1,00038,032.5,020,01:31,05.49,10.05
00400,0:01:20.7,00041,032.3,019,01:33,05.39,09.99
00425,0:01:25.3,00043,032.4,015,01:32,05.45,10.05
00450,0:01:29.9,00046,032.1,016,01:30,05.55,10.21
00475,0:01:34.3,00048,032.3,015,01:30,05.57,10.26
00500,0:01:38.7,00050,032.3,015,01:29,05.61,10.35
00525,0:01:43.5,00053,031.9,019,01:32,05.44,10.19
00550,0:01:48.1,00055,031.8,020,01:33,05.40,10.22
00575,0:01:52.5,00058,031.9,017,01:32,05.46,10.18
00600,0:01:57.1,00060,031.6,016,01:30,05.56,10.51
00625,0:02:01.7,00062,031.4,015,01:31,05.49,10.45
00650,0:02:06.3,00065,031.6,014,01:32,05.43,10.32
00675,0:02:10.9,00067,031.2,015,01:33,05.36,10.39
00700,0:02:15.7,00070,031.7,017,01:35,05.24,10.07
00725,0:02:20.3,00072,031.2,018,01:34,05.30,10.13
00750,0:02:25.1,00075,031.5,015,01:34,05.32,10.17
00775,0:02:29.7,00077,031.6,013,01:35,05.27,09.94
00800,0:02:34.3,00080,031.0,015,01:31,05.47,10.39
00825,0:02:38.7,00082,031.3,016,01:32,05.46,10.48
00850,0:02:43.7,00084,031.3,016,01:35,05.26,10.23
00875,0:02:48.5,00087,031.8,019,01:37,05.18,09.73
00900,0:02:53.1,00089,031.9,017,01:35,05.24,09.81
00925,0:02:57.9,00092,031.3,017,01:34,05.34,10.12
00950,0:03:02.5,00094,031.5,016,01:34,05.30,10.10
00975,0:03:07.3,00097,031.4,018,01:35,05.26,10.05
01000,0:03:11.9,00099,031.5,021,01:34,05.32,10.06
01025,0:03:16.5,00102,031.7,018,01:33,05.39,10.13
01050,0:03:21.3,00104,031.8,014,01:33,05.39,10.10
01075,0:03:26.1,00107,031.0,014,01:37,05.15,10.02
01100,0:03:30.7,00109,031.2,018,01:35,05.27,10.02
01125,0:03:35.7,00112,031.2,019,01:36,05.21,10.10
01150,0:03:40.5,00114,030.7,019,01:36,05.20,10.10
01175,0:03:45.3,00117,030.7,018,01:40,05.01,09.90
01200,0:03:50.3,00119,030.5,015,01:38,05.11,09.90
01225,0:03:55.3,00122,030.7,015,01:38,05.08,09.88
01250,0:04:00.1,00124,030.9,018,01:38,05.09,09.80
01275,0:04:04.9,00127,030.7,017,01:35,05.28,10.08
01300,0:04:09.7,00129,030.7,014,01:37,05.15,10.14
01325,0:04:14.7,00132,030.6,013,01:37,05.13,10.09
01350,0:04:19.5,00134,030.6,011,01:41,04.97,09.78
01375,0:04:24.3,00137,030.6,015,01:35,05.25,10.14
01400,0:04:29.1,00139,030.5,022,01:38,05.08,10.12
01425,0:04:33.9,00142,031.1,020,01:35,05.24,09.93
01450,0:04:39.7,00145,030.9,018,01:55,04.35,09.11
