COXORB Performance Data   16:02  20/01/2023 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,000.0,000,06:53,01.21,00.15
00025,0:00:08.9,00004,021.6,016,03:05,02.71,05.39
00050,0:00:15.1,00006,023.8,020,02:09,03.87,08.48
00075,0:00:21.1,00008,023.0,026,02:03,04.05,10.03
00100,0:00:26.7,00011,025.1,028,01:55,04.34,09.84
00125,0:00:32.1,00014,031.6,029,01:47,04.66,08.76
00150,0:00:37.1,00017,033.8,035,01:42,04.92,08.62
00175,0:00:42.1,00020,034.0,037,01:40,04.98,08.73
00200,0:00:47.1,00022,033.5,037,01:40,05.02,08.96
00225,0:00:52.1,00025,032.9,036,01:40,05.01,09.10
00250,0:00:57.1,00028,032.1,035,01:40,04.98,09.30
00275,0:01:02.1,00030,031.9,035,01:42,04.88,09.23
00300,0:01:07.3,00033,032.0,034,01:42,04.89,09.11
00325,0:01:12.3,00036,031.5,034,01:42,04.88,09.22
00350,0:01:17.5,00039,031.5,034,01:40,04.98,09.39
00375,0:01:22.5,00041,031.0,033,01:41,04.97,09.59
00400,0:01:27.5,00044,031.0,031,01:41,04.95,09.51
00425,0:01:32.7,00046,030.7,032,01:42,04.92,09.63
00450,0:01:37.9,00049,030.9,032,01:45,04.74,09.26
00475,0:01:42.9,00052,031.2,030,01:42,04.92,09.35
00500,0:01:47.9,00054,031.1,030,01:39,05.05,09.55
00525,0:01:52.9,00057,031.2,031,01:41,04.96,09.52
00550,0:01:57.9,00060,031.0,031,01:39,05.04,09.72
00575,0:02:02.9,00062,030.5,029,01:41,04.97,09.80
00600,0:02:07.9,00065,031.2,029,01:41,04.97,09.54
00625,0:02:12.9,00067,031.2,028,01:41,04.96,09.54
00650,0:02:17.9,00070,030.7,031,01:40,05.02,09.71
00675,0:02:22.9,00072,030.7,031,01:41,04.94,09.62
00700,0:02:28.1,00075,030.9,030,01:41,04.96,09.58
00725,0:02:32.9,00078,030.9,030,01:38,05.08,09.71
00750,0:02:37.9,00080,030.7,029,01:40,05.00,09.82
00775,0:02:42.9,00083,030.5,030,01:42,04.91,09.67
00800,0:02:48.1,00085,030.6,029,01:41,04.93,09.59
00825,0:02:53.3,00088,030.8,029,01:44,04.80,09.39
00850,0:02:58.5,00091,030.6,030,01:43,04.86,09.47
00875,0:03:03.7,00093,030.4,029,01:44,04.80,09.43
00900,0:03:08.9,00096,030.9,026,01:43,04.85,09.35
00925,0:03:13.9,00099,030.5,027,01:43,04.84,09.44
00950,0:03:19.1,00101,030.6,030,01:42,04.92,09.58
00975,0:03:24.1,00104,030.7,030,01:42,04.90,09.55
01000,0:03:29.1,00106,030.6,029,01:42,04.91,09.59
01025,0:03:34.5,00109,030.0,030,01:43,04.84,09.70
01050,0:03:39.5,00112,030.5,030,01:44,04.79,09.39
01075,0:03:44.7,00114,030.5,030,01:45,04.78,09.40
01100,0:03:49.9,00117,030.5,030,01:44,04.82,09.41
01125,0:03:55.3,00120,030.3,029,01:47,04.68,09.27
01150,0:04:00.5,00122,030.3,030,01:45,04.76,09.35
01175,0:04:05.7,00125,030.5,029,01:45,04.78,09.32
01200,0:04:10.7,00128,030.9,029,01:42,04.92,09.47
01225,0:04:15.9,00130,031.3,028,01:43,04.85,09.27
01250,0:04:21.1,00133,030.9,029,01:42,04.88,09.38
01275,0:04:26.1,00136,030.7,029,01:43,04.84,09.42
01300,0:04:31.3,00138,031.1,028,01:42,04.89,09.35
01325,0:04:36.3,00141,031.1,029,01:42,04.88,09.42
01350,0:04:41.5,00144,031.1,030,01:43,04.85,09.34
01375,0:04:46.7,00146,030.9,030,01:43,04.85,09.37
01400,0:04:51.7,00149,031.5,028,01:42,04.89,09.20
01425,0:04:56.9,00152,030.8,029,01:45,04.78,09.27
01450,0:05:02.3,00154,030.9,032,01:45,04.74,09.25
01475,0:05:07.5,00157,030.7,028,01:46,04.72,09.24
01500,0:05:12.7,00160,031.0,029,01:46,04.73,09.08
01525,0:05:18.1,00163,030.5,030,01:45,04.74,09.27
01550,0:05:23.1,00165,030.8,029,01:44,04.83,09.24
